Semester,Subj_Code,Crse_Code,Sctn_Code,Sctn_Id_Code,Course_Title,Instructor_Name,Student_ID,Student_Name,MSUNet_ID,Honor,Academic_Career,Level,Academic_Plan,Assoc_Sctn,Credit,Grade
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",158429522,Vulnavia                  ,vulnav84, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",185622542,"Vesalius, Joseph           ",vesali59,H,UGRD,40,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",113241688,"Longstreet, Terry          ",longst41, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",150548529,"Vesalius, Lem              ",vesali61, ,UGRD,20,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",163486880,"Allen, Susan               ",allensu,H,UGRD,40,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",124601128,"Hedgepath, David           ",hedgep78, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",183006522,"Dunwoody, Edward           ",dunwoo22, ,UGRD,40,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",188039503,"Hargreaves, Alex           ",hargre44,H,UGRD,40,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",128803911,"Whitcombe, Maurice         ",whitco42, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",167775637,"Trout, Peter               ",troutpet, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",155412345,"Schenley, Norman           ",schenl85, ,UGRD,40,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",112361774,"Biederbeck, Darrus         ",biederbe, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",100110234,"Trowbridge, Diana Elizabeth  ",trowbr76,H,UGRD,20,CMPSP_NOUN, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",108731110,"De Silvia Lombardo, Terry Thomas  ",desilvia, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",122345678,"Ambrose, Harry             ",ambros96, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",118171524,"Forbin, Charles            ",forbin35, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",128044783,"Markham, Cleo              ",markha62,H,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",197641221,"Fisher, John               ",fisher53, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",182167624,"Johnson, Jefferson         ",johnso03,H,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",166609072,"Fields, Angela             ",fields20, ,UGRD,30,CMPS1_BS1, ,4, 
SS24,CSE,335,001,224217612,Object-oriented Software Design,"Momtaz (PI), Owen (PI)",146557572,"Harrison, Thomas           ",harris70, ,UGRD,30,CMPS1_BS1, ,4, 
